School,FBS Conference,Coaches Compensation ($),Recruiting ,Game Expenses and Travel,Ticket Sales,"Corporate Sponsorship, Advertising, Licensing",Student Fees ($)
University of South Carolina,Southeastern Conference,25187611,1366984,13061698,30968984,7406314,
University of South Florida,American Athletic Conference,12917629,786406,5923748,4276996,5742549,16324853
University of Southern California,Pacific-12 Conference,,,,,,
University of Southern Mississippi,Conference USA,5264550,558102,3882002,1947563,1826424,8364025
University of Toledo,Mid-American Conference,6978459,399433,3192339,1850523,628406,9597986
University of Tulsa,American Athletic Conference,,,,,,
University of Utah,Pacific-12 Conference,23167963,1433471,10075289,18498658,11610979,6041538
University of Virginia,Atlantic Coast Conference,25443005,1443510,11401890,15547037,10617187,14715353
University of Washington,Pacific-12 Conference,24238571,1325013,15387893,34520688,26576763,
University of Wisconsin-Madison,Big Ten Conference,24252528,1169079,14154102,35519462,13709751,
University of Wyoming,Mountain West Conference,9296595,703089,5263719,3707773,2113933,2231580
Utah State University,Mountain West Conference,9127508,474257,4657376,2549487,681920,4981252
Vanderbilt University,Southeastern Conference,,,,,,
Virginia Polytechnic Institute and State University,Atlantic Coast Conference,19801792,1876885,9966479,19200364,2887302,10924067
Wake Forest University,Atlantic Coast Conference,,,,,,
Washington State University,Pacific-12 Conference,14367411,1179747,7523481,8620981,4341126,1440904
West Virginia University,Big 12 Conference,17994476,1358915,10944842,17842046,10331890,3839995
Western Kentucky University,Conference USA,6017527,376478,4237062,2418206,1228675,3215375
Western Michigan University,Mid-American Conference,7163485,320791,4451274,1665803,1974369,
